sentence,Sentiments,Bayes
Malang students set fire to demonstration against rising prices,Negatif,Netral
"It's nice to go up according to the price of goods and transportation according to healthy rates and then, chairman, let the members scream",Positif,Positif
the issue of pki missing months due to rising subsidy prices,Negatif,Netral
"As a result of rising prices, Papuan youth call for a boycott of PDP",Negatif,Negatif
"The price increase does not affect LPG prices in Batu City, Koranmemo",Positif,Positif
can smile price increases,Positif,Netral
The demonstration against the price increase in the city of Cirebon was chaotic,Negatif,Positif
Prices for motorbike taxis have gone up,Netral,Netral
Cipayung group took action against rising fuel prices,Netral,Netral
"Price increases do not go hand in hand with wage increases for the working class, harvests for farmers, fishing for fishermen, the increase does not have a significant effect on the perception that the representatives of the people belong to big business",Positif,Positif
Tani Nunukan aims to increase prices,Positif,Positif
"and help with the suggestions of the authorities, whether to remove all subsidies for all people, gas station prices, full commercial prices, if they remain subsidies for public transportation businesses transporting goods, passengers, fishermen",Positif,Positif
"If you work well, there's no need to increase the price of rubbish",Positif,Positif
"Right at the beginning of September, there was a lot of news regarding the increase in prices of other basic commodities, prices were very much in line with the quality of life of the majority of Indonesian people.",Positif,Positif
"It's better to just say increase the price of construction and close the high cost of fast trains, maybe the people will accept it a little",Positif,Positif
"The polemic about rising prices welcomes the pros and cons, according to Drone Emprit",Positif,Positif
"For the people, it's better to ride a horse because they are aware of the high price",Positif,Positif
"reject price increases, MSB raids Sampang DPRD building",Negatif,Netral
"why make a fuss about petrol going up, it doesn't work, it's really going up, it's already going up, so the price will go up for a long time, it'll go down, when will the country progress, if everything goes down, people with short-circuit brains will always make a fuss about the increase.",Positif,Positif
"If Malaysia's prices drop, it means mismanagement of the country",Negatif,Netral
"According to the price in Juang, it remains pro little people. Pdip Juang is indeed pro little people",Netral,Netral
Simple logic: Vivo's subsidized selling price is cheaper than Pertamina's subsidized selling price,Netral,Netral
"That's why world oil goes up and down, it keeps going up, world oil goes up, as raw material prices increase, world oil goes down, up, as oil sales proceeds fall short of closing the sales deficit.",Negatif,Negatif
"don't always act in the name of the people, the people never aim for prices, prices have gone up, prices have gone up since the New Order era.",Netral,Positif
DPRD DKI Jakarta Muhammad Johan C Value of rising fuel oil prices adds weight to the people's burden Treasurer DPD DKI Jakarta Democratic Party firmly orders cancellation of price increase,Positif,Positif
very good commands are only going up now even though world oil prices have been going up for a long time ahlusunnah prayer leads well in aqeedah not choosing rational or wise commands still blaspheme the people,Positif,Positif
Subscribe to the bus to know the price of the lift ticket,Netral,Netral
"Just when I filled up with petrol, I had enough money, I was almost reckless enough to enter a sewer, self-esteem subsidy, cut off at the end, so yasudala, it's important to get home",Negatif,Negatif
"As a result of the increase in the price of car towing, it is prohibited to use Pertalite",Positif,Positif
"You're nice, you talk like you're rich, you're increasing your members, you're suffering a lot, price increases, you use your brain, you know, when you say that",Positif,Positif
"highlight the wave of further demonstrations about rising prices, how the demonstrations are anarchistic, comments",Positif,Netral
Prices increase as a result of using low octane petrol for car spark plugs,Positif,Positif
"Please provide information since when Pertalite became an assignment because I remember the bomb according to the market price mechanism, which is a premium assignment, please provide clarity",Positif,Positif
"If the order is afraid of competition regarding price, it's better not to do business, it's better to just sell refilled water",Positif,Positif
"the world oil price is going up, the reason is that the world oil price is going up, it's still going up, but the reasons are changing",Netral,Netral
"the world oil price is going up, the reason is that the world oil price is going up, it's still going up, but the reasons are changing",Netral,Netral
"Demonstrations against rising prices, the masses urge Jokowi to remove the Minister of Finance and Minister of Energy and Mineral Resources",Positif,Netral
"I think the older man is going up, causing oil to be scarce because people are playing with big profits, strong backing will influence the prices of other basic foodstuffs because transportation requires oil, ah, I'm old but I'm stupid, sir.",Negatif,Negatif
Brebes students' unracial action against the increase in subsidized fuel prices,Positif,Positif
"I don't ask because in the past, when Mr. Sby raised prices, he controlled prices",Netral,Positif
"where now the photo collage people are crying, only the prices of sunflower seeds have gone up",Negatif,Negatif
"Prices rose in September as ordered, proof that capitalists don't have an alibi for anti-PKI demonstrations",Netral,Netral
"It's not panic that prices are going up, it's not a sense of fairness, it's not about going up, the price is cheaper, infrastructure requires work, salaries go up, function bodies",Positif,Negatif
Ummah parties strongly refuse to increase prices,Positif,Positif
"In the past, prices have been going down for a long time, going down and up and up and up all over the world, this year, consumption is less because in both years prices have also checked the level of data",Netral,Positif
"Vivo lowered prices, in fact, Pertamax Ron's intervention above had to reduce market oil prices. If market prices were handed over, who would be lying?",Negatif,Negatif
tyrants of the people of the ummah party push hard to raise prices,Positif,Positif
Rising prices will increase the price of cigarettes,Positif,Positif
often support the price increase even though it's good,Positif,Positif
"People don't go up, but the subsidy changes, the meaning is that you don't really know the price, it's basically a subsidy mentality",Netral,Netral
"He admitted that he gave Vivo a subsidy, a subsidy to reduce Pertamina's fuel prices, but instead the price increased",Positif,Positif
"but it's no excuse for you to increase the price, if it goes up everything will go up too, but yesterday cooking oil went up to the normal price",Positif,Positif
"Prices of basic necessities are starting to creep up, with a domino effect of rising even though wages are according to money, not everyone who has money is damaged",Negatif,Negatif
"quipped at the order regarding the price increase, Citata was tired of losing at the statue",Negatif,Negatif
Fuel prices have gone up. It's said that Joshua died due to dirty secrets and infidelity.,Negatif,Netral
"Vivo subsidies reduce prices in Indonesia, open your eyes, ear plugs, orders instead order to increase prices, Ebong, don't think about it if world oil prices fall",Positif,Positif
all price increases require brain increases,Netral,Netral
The president of the Philippines knows there aren't many demonstrations demanding price cuts,Negatif,Positif
"I don't mind if Jokowi sells because Jokowi sells spectacularly, all examples are as small as one Indonesian price. Jokowi thinks and makes the Republic good at talking a lot of nonsense.",Positif,Positif
"The whole world is experiencing an energy crisis due to the Russia vs Ukraine war, which has triggered an increase in domestic prices, so that it looks reasonable, all subsidies must be withdrawn, so don't continue to rely on subsidies in the APBN, just subsidy basic food and social assistance.",Negatif,Negatif
Jokowi is ready to demonstrate by the people because of price increases until the manner is good,Positif,Positif
prices rise mnc securities ihsg predictions press day,Positif,Netral
"Bebek Regim please buy the retail price of Papua, push it up, please buy the old price",Positif,Positif
Ummah parties strongly reject the price increase via,Positif,Positif
"Bebek Regim please buy the retail price of Papua, push it up, please buy the old price",Positif,Positif
"about critical economists, the command f bas go, no subsidy means prices will rise",Negatif,Positif
"Price increases are canceled, explained economist Rizal Ramli",Netral,Netral
"Price increases are canceled, explained economist Rizal Ramli",Netral,Netral
"Price increases are canceled like this, explained economist Rizal Ramli, the trend of Pertamina petrol stations in September breaking news demo",Positif,Netral
"If it weren't for the whole world, prices would rise like crazy in each country",Positif,Negatif
"Urge the order to lower subsidies prices, let's sign the petition this time",Negatif,Negatif
focus on resisting price increases,Netral,Netral
"If the option is available, lower the price or lower it, it's better to reduce it by two so that Indonesia can be repaired",Negatif,Negatif
"Prices rise, investors rush for SLIS electric motorbike shares",Positif,Netral
"Subsidy prices are increasing, Minister of Communication immediately increases bus fares, said Ojol",Netral,Netral
"It's easy for the people, the government is not happy, but instead forbids Vivo from selling at prices below Pertamin's prices. Here, see the mission of the order to bring peace to the people.",Positif,Positif
action against the price increase for the Banten provincial parliament building,Positif,Positif
"It's not a bad thing, criticism of fuel price increases from toll roads usually just creates irrelevant problems",Negatif,Negatif
"Whether you want to be rich or lose your job doesn't matter who is president or who is president, the potential for prices to rise",Positif,Positif
It has been proven that the Bani Cebong Bipang and their descendants are prohibited from complaining and enjoy increasing the price of bbms. Greetings coffee and revolution,Positif,Positif
"Why is Vivo cheaper? Why are prices rising while world oil prices are falling? What is the solution for the small community to answer the demonstration, not be ignored? Sambo team fight",Positif,Positif
reject price increases in Bengkulu province,Negatif,Netral
"Jokowi rises in price, Rocky Gerung is blunt and outspoken about maximum distrust of people's orders, tensions",Negatif,Netral
"the definition of a gathering of stupid people who just talk out loud, the price of people is a bomb, find out more about the world's economic conditions first, what's the matter, even play and invite demonstrations, don't use logical reasons",Negatif,Negatif
The demonstration against the price increase for police officers caused chaos. Students broke through the fence at the entrance to the regent's office. They pushed each other against PPVI's Satpol duties.,Negatif,Positif
"Hasto, boar face, human figure, devil's heart, Hasto Attachment wins, brews like crazy when Pak Sby's price increases, Hasto is happy, happy to hear the bad news, Jokowi increases subsidy prices",Positif,Positif
eggs rise up and down self-esteem,Netral,Netral
"Megawati's different attitude Pdip responds to price increases during the Jokowi SBY era, really has an argument for defending the little people who don't have a face",Negatif,Negatif
PKS's unique way of refusing to increase the price of the North Sumatra DPRD plenary session,Negatif,Negatif
Urge to cancel the increase in subsidy prices because the social assistance transfer subsidy is not well targeted,Negatif,Positif
"If you compare prices, forget comparing income per capita, just go to sleep, sis",Negatif,Positif
"For shipping costs, many experts understand the basic selling price calculations",Netral,Netral
"The private sector sells at the same price as Pertamina, so what is that subsidy?",Netral,Positif
"Come on, let's ignore orders, let's check world oil prices",Negatif,Netral
Metro Jaya Regional Police Chief Inspector General of Police Dr. Mohammad Fadil Imran carries out personnel inspections to anticipate demonstrations in accordance with order prices,Netral,Positif
"you guys shout independent, you want to be bribed with subsidies only when it goes up a little whiny, it's better to order honestly, the price is right, what do you think?",Positif,Positif
There has been a lot of criticism of Jokowi after fuel prices rose,Negatif,Positif
"The chairman is apparently busy working on his presidential candidacy, I think he is complaining about the orders of the people's representatives regarding the rise and fall of world oil prices",Negatif,Negatif
"Jokowi pretends to be the father of infrastructure or not, debt ends up being a debt burden on the people, subsidized prices rise, taxes, electricity rates rise, subsidized cooking oil prices",Negatif,Negatif
"It's true that prices are rising in European country parameters, even though the majority of economies are rich in developed countries, if you want to compare Malaysia, whether the fuel is going up or down, that's just smart, not sad.",Positif,Negatif
further starting price,Netral,Netral
You're so stupid to think that a small person from under age increases prices at least to increase distribution costs and trigger price increases. Prices have brains,Negatif,Positif
"It's strange since birth and now it's wise to force orders. The selling price of people's products is expensive. What's the basis for people's empathy dying, Pertamina says about lower prices for Pertalite",Positif,Positif
"Remember, the price of fried breast round tofu has increased quite significantly",Positif,Netral
"APBN orders sharia economic business money to take responsibility for all matters of sharia, why are the victims of the Indonesian people increasing prices?",Negatif,Positif
"Brigadier J's death drama, Jokowi's price rise is out",Negatif,Netral
Palopo HMI students took part in a demonstration against the increase in BBMvia prices,Positif,Positif
"Hopefully the price of employee salaries will also increase, amen to you the loudest",Positif,Positif
"I was thinking yesterday when the students wanted to demonstrate, one of the agendas was to refuse to increase, why would you try a superpower country and it would be scary if oil prices went up yesterday, but now it has to go up first so that you don't panic, but now it's like that.",Positif,Negatif
"Confused by the position of all the factions, the word refuses to scroll, the right to interpellation, the right to ask the president about wisdom, the influence of many people, price increases when world oil prices fall",Positif,Positif
"price increases, call Pertamina",Netral,Netral
"Come on, let's go up, it's the same as being economical, wasteful, don't sell, small people don't do cinema, TV, just watch cinema money to increase the children's snacks, school children canteen snacks experience an increase in the price of watching faint Samup Sambo, cool",Positif,Negatif
"As a result of rising student prices, Jokowi Maruf Amin's vote fell",Netral,Netral
"Hadde, isn't it strange that the Indonesian government is urging Swiss businesses to increase selling prices for Indonesians?",Positif,Positif
"Bennie Akbar Fatah Forum Kaji stops letting Jokowi raise prices, a human injustice",Negatif,Netral
istirja price increases will make it more difficult for the peopleistirja base to refuse to be listened toistirjaka report directly to nature,Negatif,Negatif
think about price,Netral,Netral
"Regarding the demo, Jokowi's price increases are good",Positif,Positif
"Prices are getting more expensive, now it's cheap, it's just self-esteem",Netral,Netral
People's bribes are increasing. People are realizing that bribes are not comparable to starting to control the price of goods because the influence of selling prices is big,Netral,Positif
"There are many reasons for refusing to increase subsidized prices, it is clear that everything is important to the people",Positif,Negatif
The opposition should not raise the price of infrastructure leveling until all corners of the country are protesting whether people are feeding cement. Why build an airport if there is no opposition?,Negatif,Negatif
Jokowi responded casually to threats of demonstrations due to price increases,Negatif,Netral
"Prices are rising, Madam urges orders to disburse social assistance immediately",Netral,Netral
"It's been a long road, I was discussing my little Vario motorbike about going up, thank God, I said it would be more economical, I said the price was going down",Positif,Positif
The order says that Vivo will not intervene regarding the increase in general fuel oil,Positif,Positif
rise and rise BLT Migor prices rise BLThahahaha what kind of concept,Netral,Netral
Regional government asks for quick action on inflation after price increase,Positif,Netral
"It's fine for you to increase prices, don't you tell businesses to increase workers' wages, call it fair for all Indonesian people, how fair can you try",Positif,Positif
"The price of ship tickets across Southeast Sulawesi naturally increases along with the new subsidy rates, even though they consider it reasonable, the price of ship tickets across Southeast Sulawesi still increases",Netral,Netral
back to breaking up fuel prices between news,Netral,Positif
"keep increasing the price, the right solution, sir",Positif,Positif
Bantul price increase postpones plans to increase tourist fees,Positif,Positif
Pertamina goes up only Nabi Isa and the price of bbm goes down Nabi Isa,Netral,Netral
"Deputy Chairman of the Indonesian Ulema Council, Mui Marsudi Syuhud, said that according to price, sales are good for society, the economy is maintained",Positif,Positif
Malang's price increases coincide with the price of rice,Netral,Netral
"Jokowi's regime disbanded at the end of his term of office, he still refused to raise prices for opponents of President Jokowi's coup",Negatif,Negatif
Malaysia is too brave about Indonesia's wise order to raise prices,Positif,Positif
"selling below the price, Pertamina gas stations ask for a price increase",Positif,Positif
about the test of a strong Indonesian nation that is usually oppressed by its dark history from day to evening demonstrations asking for lower prices to check electricity prices will take part in demonstrations,Negatif,Negatif
"impact of rising student prices, Jokowi Maruf Aminturun's vote",Netral,Netral
"Actually, the debate knows what the problem is, not the price impact",Negatif,Negatif
"refuse to increase fuel prices, after demonstrations ask Jokowi to resign, regulate the president",Negatif,Positif
random thoughts price increases voucher free shipping online shop distance expedition impulsive buying rain flood madame gazelle guru peppa pig real antelope and hungry deer,Positif,Positif
Sri Mulyani is outspoken about the impact of rising prices,Netral,Netral
"visible humanist action by the Banyumas police, dialogue and demonstrations against rising prices",Netral,Netral
"Respond wisely to the order regarding the increase in subsidy prices, West Sulawesi LMND exclaimed to reject it",Positif,Positif
"as the market sells, the point is the same as the profit, don't be stupid, the reporter's assumption will increase, the market price will increase, the selling value will increase, stupid people understand economics, the reporter can just talk about profit, you never buy from your wallet because you have facilities",Positif,Positif
Prices now are starting to seem too high,Netral,Netral
"World oil prices go up and down, so up, world oil usually goes down, but once the price goes up, it goes down, the Koplak regime appoints ex-convict Ahok, a puppy, becomes Pertamina's president, increasingly chaotic, more corrupt.",Negatif,Negatif
"Basically, Mr. Jokowi, good president, support three terms, if necessary, long life, price, if you don't have to bear it, remove all subsidies, the people of Indonesia are strong, they won't be the little people, the people of Indonesia are great, strong",Positif,Positif
"Imagine the people demonstrating to lower fuel prices, but in the end Prophet Isa lowered them",Negatif,Negatif
"I asked whether the selling of nasgor would increase the price, the answer was that it would increase, not rice, the place to buy mung bean ice would increase by thousands",Positif,Positif
The increase in subsidy prices has emerged regarding the recent increase in the prices of several food commodities and other goods,Positif,Positif
rising price,Netral,Netral
I think the demo is just a protest and the price still won't be lowered hahaha,Negatif,Positif
"visible humanist action by the Banyumas police, dialogue and demonstrations against rising prices",Netral,Netral
"The National Police is the public relations officer for the people's fair court, just don't be an opponent of the people, you might increase the price of influence, it's quite miserable, it's miserable, it's miserable, right?",Negatif,Negatif
"Sir Din, don't increase the price, you'll eat lightly hahaha",Positif,Positif
rising price,Netral,Netral
Let's take a look at the average prices in Indonesia vs which countries are the cheapest and most expensive,Netral,Netral
"The subsidy price rises, the chairman of DPP PKS, the right moment",Netral,Netral
"Price increases are just a burden on the people. Rizal Ramli gave Jokowi a solution, ordering him to be a little creative, bro",Positif,Positif
Indonesia's safe action against rising prices,Positif,Netral
"LMND organization refuses to increase prices, urges order to establish national energy sovereignty",Positif,Positif
"As a result of rising prices, Papuan youth call for a boycott of PDP",Negatif,Negatif
"not everyone's smoking is going up, everyone needs clothing, food and shelter, the price of cigarettes, my friend, is going to go up, it's better if you just tell them to eat more fish.",Positif,Positif
"Rizal Ramli stressed, highlighting the impact of increasing BLT prices, regardless of the appeal of people's money being sucked up",Negatif,Netral
The plenary room is broken. Aceh DPR students finally agree to reject the price increase,Negatif,Negatif
reject price increases. Hundreds of students raided the DPRD Tara office,Negatif,Negatif
refuse to increase labor shift prices to demonstrate in front of the DPR tomorrow,Positif,Positif
regional leadership communication forum forkopimda probolinggo district student dialogue linked to increase in fuel oil prices pendapa prasadja ngesti authority monday,Positif,Positif
"find tiktok, the price of eggs goes up, the price goes up, then it goes down, where is Nabi Isa's little son?",Netral,Netral
"the price of eggs rises, tears rise and fall",Negatif,Netral
"orders according to the price, anticipating swelling of subsidy channels, appropriate subsidy channels",Netral,Positif
"You don't have a conscience, we are hot, sweaty, screaming at the authorities, you are the representative of the AC room, your nice clothes smell like taxes, you sing and dance when you shout, high prices",Positif,Negatif
heavy price increases via,Netral,Netral
"the name of Mahapekoksiswa Uteq is the limit of what I can think of. CB told me to stay here, then I found out that the prices are going to go up here, residents will still buy me, live happily, peacefully, in West Papua",Positif,Positif
"I'm suspicious, maybe the big profits are going up. IKN's building allocation price is having trouble looking for investors. The high-speed train is stalling, who knows?",Negatif,Negatif
increase the price immediately strangle Surabaya fishermen via,Positif,Positif
increase the fuel prices for the officers,Positif,Positif
"If you want less traffic jams, take the right time to Bandung, encourage people to move to mass transportation, for example many routes and buses, reduce public transportation prices and integrate bus stops and stations, he said, Bandung Smart City",Positif,Positif
PKS Purwakarta refuses to increase prices,Positif,Positif
The impact of the increase in the price of Serang city public transportation fares is also the hull,Positif,Positif
The domino effect due to the increase in subsidized prices has a significant broad impact,Positif,Positif
"Confused about why Vivo sells cheaper, the intervention asks to increase even after the price increases are far below the economic price, calculate the Pertalite order, it is indeed the order to calculate the economic price",Netral,Positif
Write to Jokowi North Sumatra DPRD to cancel Sindonews price increase,Positif,Positif
"demand that prices fall, all governors are pushing for Jokowi's letter",Negatif,Negatif
Tuchel thinks prices are going up bro,Netral,Netral
Waka III Sumbawa DPRD rejects increase in subsidized fuel prices,Negatif,Positif
Portrait of gas station price increase in Sinar Padang Mahsyar,Positif,Positif
"What is all the praise broken, the price jumps up",Positif,Netral
"right, aim wisely, increase prices, reduce public consumption in order to reduce carbon production, the country's roads must provide cheap transportation for the public by spending money, being economically active",Positif,Positif
"PPkm is long and prices are rising for political activists, the Jokowi regime's sneaky way to silence demonstrations, maybe it's not Luhut, the Minister of Home Affairs regulates PPK, the public knows who the Minister of Home Affairs is now",Negatif,Negatif
"Since when did the price match the wage, instead the wage matched pretending to be smart, it's easy, it's difficult, pretending to be stupid, you need to be smarter",Positif,Positif
"projkw dar suggestions, isn't Pakdhe resigning as minister of finance or is it not that the salary for the retirement of office is reduced by deductions to stabilize prices confiscated by the poor, corruption, selling assets, subsidies to the people, or not, must the people be victims?",Negatif,Negatif
"The representative party just sings in unison, don't vote, the people demonstrate, reject the price increase, don't care",Negatif,Negatif
The party claims to be a small person who remembers that the price of the congregation went up when I was in the opposition now,Positif,Positif
The Prosperous and Prosperous Party faction of the Indonesian House of Representatives flatly refuses to increase prices,Positif,Positif
"the basis is not creative and unable to achieve the level of efficiency of Pertamina. Jokowi complains that alternatives are going up in price even though many alternatives are poor and poor, think protests in Indonesia as anger grows. Jokowi says he has little choice.",Negatif,Negatif
"Pakde's ministers are just a burden, it's hard for the country to bear the burden, the people are asked to bear the APBN, collapse, increase the price of VAT, increase the price of fencing posts for the party, for office, cut corruptors, instead they are freed, making the people's blood boil",Negatif,Negatif
RI's order price increases protest against the Yemeni people,Negatif,Positif
"In the past, mutually led the country's government to raise prices normally in that country. Demonstrations were rife. Try to lead the government to change too, but there was no demonstration about corrupt assets taking over the country.",Positif,Negatif
the big role of the oil and gas mafia in setting prices,Netral,Positif
It's true that the oil and gas mafia is creating a scenario of rising prices,Positif,Positif
"Frankly, what's the story of price increases?",Netral,Netral
"reject price increase, walkout of DPR plenary session",Negatif,Positif
"OK, I'd like to increase the price, ndesss",Positif,Positif
cancel price increase,Positif,Positif
"Use your first private vehicle after the price increase, hope you live well",Positif,Positif
PKS walks out of DPR plenary meeting rejecting fuel price increase,Negatif,Positif
"price increases, deputy chairman of the Banyuwangi DPRD prays",Positif,Netral
"Demonstrators reject price increases in front of the DPR building, sneering at DPR chairman Puan Maharani, PKS considers it natural that the public is now angry, Puan",Negatif,Positif
Puan was happy to surprise the people's birthday when the DPR rejected the national price increase,Positif,Positif
"Now subsidies have increased, all prices have increased significantly",Positif,Positif
"Don't expect the Democratic Party to be brave enough for the opposition to open a protest, please come down during the demonstration, refuse to increase the price, hostage to the sins of the past century, hinder Garuda's investment, can open KPK",Positif,Positif
Households throughout Indonesia are increasingly being hit by rising subsidy prices,Netral,Netral
"people suddenly die feeling like they're losing fuel, riding a toll road full of cars means using it with price adjustments is problematic, there's an odd problem",Negatif,Negatif
Yozi Rizal raises prices for the reckless steps of the Lampungoke regime news,Negatif,Negatif
"explained Chief Bin Budi Gunawan, several facts according to important prices, wisely taking orders, all orientations, protecting economically weak people, support, targeted subsidies",Positif,Positif
"DPR calls for dregs of assets law to refuse life-span pensions, maybe this fierce price increase demonstration, they are willing to be happy to dance on the suffering of the people",Positif,Positif
"although it might be wise to get free fares indirectly on the Tangerang city government page, see where to support the free public transport fares which are clearly cheap, the community will help with the price transition",Positif,Positif
"It's not a matter of increasing subsidy prices, it is more expensive, other impacts due to increasing subsidies",Negatif,Positif
"It's natural for him to shout that if the price goes up, it means that Papuan prices will go up",Positif,Positif
the price of hulls is rising so fast that the poor people's sky is getting squeezed let's keep the voices of the people's aspirations noisy and fighting gt gt gtlt lt lt,Negatif,Negatif
Intellectuals say that this attitude of rising prices reflects the quality of the people's representatives in the future,Positif,Positif
This is how the subsidy prices of the Suharto era were like,Positif,Positif
"Prices rise, PDP politicians ask the government to think about people's productivity",Netral,Netral
"Oh, I'm aware that it's getting more expensive, I'm willing to pay to support it, the prices are getting more and more expensive",Positif,Positif
Good citizens join in the goal of rising prices because the country is abundant in natural resources and enjoys good governance. Greetings,Positif,Positif
Bin anticipates a wave of demonstrations against rising fuel prices,Netral,Netral
"Yes, it's nice that the price increases the more you steal, Cebong",Positif,Positif
"If it's an important matter, the people are hot, rain and even storms won't back down. Students will vote against the increase in fuel prices. The deputy chairman of the DPRD, Democratic Party faction, Billy Lombok, is firm.",Positif,Positif
the party is going to strangle the people by raising prices in a situation that deserves to be disbanded,Positif,Negatif
"The PKS faction and its political stance refuse to increase PDP prices, asking for a stop",Negatif,Positif
"Thank God, the neighbors have enough good cars, most of them work as entrepreneurs, they don't have to be unemployed waiting for the demo increase law, it's a blessing to be able to increase the results for a long time, the price doesn't increase, that's why you work",Positif,Positif
"compensation for price increases, orders to provide subsidies for public transportation motorbike taxis to fishermen",Netral,Netral
knee brain goes up all food prices public transportation seems to go up too ogeb salaries go up too the problem is there's no smell the salary will go up,Negatif,Negatif
APBN is in deficit so prices go up KRL pay pension DPR MPR for life dare to try prices don't rise by noting DPR MPR doesn't accept severance pay pension well life,Negatif,Negatif
"As a result of the increase in Nestle prices, product prices increased",Positif,Positif
"Pragmatic opportunist SBY increases prices, controls inflation so that prices of goods rise, the consequence of choosing to reduce is by increasing ASN salaries due to narrow APBN fiscal space due to swelling subsidies, less effort",Positif,Negatif
"After Jokowi's price increase, the price of basic necessities began to increase",Positif,Positif
"The public supports the wise order to increase prices efficiently, perhaps to support fuel instead of subsidies",Positif,Positif
"clearly silent because it increased fuel prices, party officials with the knowledge of the party chairman kept silent",Positif,Positif
BUMN meter said Pertamina's task order would definitely be ready to supply the general price increase order,Positif,Positif
perhaps the different terms for the government's tombokin government guarantee are roughly the same as the price of the tombokin order,Positif,Netral
Tohir made a profit by resisting price increases,Positif,Netral
"Misdirected compensation funds accept demonstrations, reject price increases, always use the wise dichotomy of rich and poor",Positif,Negatif
"Malaysian prices are cheaper in Indonesia, there are very different components in the form of fixed prices ordered by Malaysia compared to Indonesian selling prices",Netral,Netral
"Seriously, workers are ready to demonstrate until December against fuel price increases",Positif,Positif
"I miss Mr. Hasto, when prices went up in Bombay, now there's diarrhea",Negatif,Negatif
"Where's the story about the price going up, it's still a mess, Konoha queues",Negatif,Netral
sane Indonesian people feel representative with work demonstrations rejecting the increase in subsidy prices don't feel representative not Indonesian people rich people lack sane human feelings,Negatif,Negatif
The Banyumas mass group supports the increase in subsidy prices because they support the transfer of subsidies,Positif,Positif
wo PKS plenary meeting rejects price increase,Negatif,Positif
"Puan Maharani cried during the SBY era when prices rose, starting to leverage the PDP situation was different",Negatif,Negatif
reject price increases: students raid the South-Barcel DPRD building,Negatif,Negatif
"how much does it cost to eat, hope it's easy, don't hope it's burdensome, as long as people's money isn't corrupted, Indonesia is rich, it's a blessing for the people, it's not for the corruptors.",Positif,Positif
"When the price of chilies is expensive, give a solution for planting chilies. Don't say that when you go up, suggest walking",Positif,Positif
"Semeton Bali, don't provoke demonstrations, reject fuel prices for the community, be wise, values ​​are good and bad, of course orders can be possible to be wise, maintain Indonesia's economic stability",Positif,Positif
"It is mandatory for them to feel the direct impact, so it is very important to refuse to increase fuel prices because it is very likely that other tribes will come down from the mountains and refuse to increase prices.",Positif,Positif
then now if it is for the power of direction the price will go up,Netral,Positif
"Nikita Mirzani's fair value openly supports rising prices, not many poor people via",Positif,Positif
sen people orders not to increase prices,Negatif,Positif
"solution to price increases, DKI DPRD proposes free Jakarta transportation",Positif,Positif
appeal g current situation how long has it been since sby president how long has the price gone up how long has the white congor rat party's power to uphold the king lie how many times have it gone up for artisanv cheater what party is pks,Negatif,Negatif
"Check that Indonesian prices are more expensive than Malaysia, you know",Netral,Netral
marsudi syuhud according to the price for the benefit of the people marsudi says break up take orders in a way choose good take and maintain stability for the benefit of the nation amidst global economic conditions,Positif,Positif
"Vivo would be great if all of Indonesia were here to see Pertamina's CEO deliberately making poor people raise prices very high Vivo, Pertamina's cheaper prices",Positif,Positif
"The price of basic necessities began to rise naturally, the staple food rice rose as a result of rising prices",Netral,Netral
strongly rejecting the increase in pks prices walked out of the plenary session,Positif,Positif
"urges order to lower KSPI prices, the main insulting action of the president",Negatif,Negatif
It's not strange if your logic is that the real price increase is not a reduction in subsidies to save money and make money,Positif,Positif
"kw price is the same as the Pertamina area, the status is stupid",Negatif,Negatif
"until the people's aspirations then the PKS actually rejected the increase in subsidy prices, it was clear that the people were weighing it down, said Mulyantotautan",Positif,Positif
Action is not an immediate decision to cancel the price increase,Positif,Positif
members of the PKS faction of the Indonesian House of Representatives at the HMI mass meeting refuse to increase the price in front of the DPR building,Positif,Positif
"Jokowi said that Papua's prices are the same as Jkt, why do you forget everything when your brain rots?",Negatif,Positif
Support the rejection of fuel price increases by boycotting Pertamina. Don't buy Pertamina even if you say subsidies are just changing the issue,Negatif,Negatif
Pdip people who marry with rising prices,Netral,Netral
"As a result of the increase in subsidies, the price of spices needed for staple markets in Badung has increased",Positif,Positif
"You see it sells when people scream because the price of everything needs to go up due to the increase, instead they play Puan Bedebah's birthday song",Positif,Positif
"Give time for the effects of rising prices to still dampen inflation and the increase in food and clothing, so the buzzer will be sad and turn around",Negatif,Positif
"In the past, when SBY raised the price of PKS, instead he defended it, now he says that PKS is assisting the people of the DPR about increasing Jokowi's price.",Netral,Netral
"demo asked for the price to go down, buy it at the retail kiosk, the price is more expensive, strangely enough, please don't pay",Positif,Positif
according to the price only for Indonesia's great efforts to maintain strong national resilience and support targeted subsidies,Positif,Positif
"be wise, reduce energy subsidies according to the price, support subsidies that are right on target",Positif,Positif
Eggs rising and prices going up is indeed the true solution to David's fasting,Positif,Positif
I found that the price of the prophet is lowered every once in a while,Negatif,Negatif
North Sumatra DPRD sends President Jokowi a letter rejecting fuel price increases,Negatif,Positif
"three mandatory steps according to the subsidy price, must provide a social cushion, the community must carry out targeted energy support and subsidy reforms",Positif,Positif
"wisely, less energy subsidies according to price only for the strong, the APBN design is more oriented towards protecting the weak, supports targeted subsidies",Positif,Positif
Rising subsidy prices are very sensitive to people's feelings. Prices are rising and prices are clearly suffering for the people,Negatif,Positif
"Mr. Budi Gunawan really aims to match the price of fuel, subsidy support is right on target",Positif,Positif
